id,region,year,manufacturer,model,odometer,title_status,transmission,VIN,state,lat,long
7314693253,palm springs,2012.0,honda,accord,168000.0,clean,automatic,,ca,33.6798,-116.2081
7307439760,palm springs,2012.0,honda,accord ex-l,125657.0,clean,automatic,1HGCP2F89CA101359,ca,33.745583,-116.361979
7304346155,palm springs,2012.0,honda,accord ex-l,125657.0,clean,automatic,1HGCP2F89CA101359,ca,33.745583,-116.361979
7302261802,palm springs,2012.0,honda,accord ex-l,125657.0,clean,automatic,1HGCP2F89CA101359,ca,33.745583,-116.361979
7316772184,sacramento,2012.0,honda,accord,132330.0,clean,,1HGCP2F7XCA158970,ca,38.73114,-121.28971
7316531822,sacramento,2012.0,honda,accord cpe ex,58385.0,clean,automatic,1HGCS1B77CA004845,ca,38.610767,-121.422557
7316343109,sacramento,2012.0,honda,accord cpe ex,58385.0,clean,automatic,1HGCS1B77CA004845,ca,38.610767,-121.422557
7315891778,sacramento,2012.0,honda,accord,83000.0,clean,automatic,1HGCP2F67CA105988,ca,38.730931,-121.289928
7315891485,sacramento,2012.0,honda,accord,35000.0,clean,automatic,1HGCP2F69CA006329,ca,38.730931,-121.289928
7316547967,san diego,2012.0,honda,accord lx,50400.0,clean,automatic,,ca,32.8455,-117.2521
7316015450,san diego,2012.0,honda,accord,75270.0,clean,automatic,1HGCP2F38CA243755,ca,33.19495,-117.37837
7315085812,san diego,2012.0,honda,accord,75270.0,clean,automatic,1HGCP2F38CA243755,ca,33.19495,-117.37837
7315059753,san diego,2012.0,honda,accord ex-l,48324.0,clean,automatic,,ca,32.5753,-117.0707
7315012810,san diego,2012.0,honda,accord ex,52500.0,clean,automatic,1HGCP2F73CA176078,ca,32.7972,-117.1708
7314949090,san diego,2012.0,honda,accord ex-l,143189.0,clean,automatic,1HGCP2F88CA080245,ca,33.050189,-117.29475
7315996254,san luis obispo,2012.0,honda,accord,194240.0,clean,automatic,1HGCP2F75CA117730,ca,35.122159,-120.626169
7315632179,san luis obispo,2012.0,honda,accord sdn,62095.0,clean,automatic,1HGCP2F62CA105378,ca,35.339728,-119.029217
7313110784,san luis obispo,2012.0,honda,accord,194240.0,clean,automatic,1HGCP2F75CA117730,ca,35.122159,-120.626169
7312091108,san luis obispo,2012.0,honda,accord,124531.0,clean,automatic,,ca,35.5566,-121.084
7311662114,san luis obispo,2012.0,honda,accord,194240.0,clean,automatic,1HGCP2F75CA117730,ca,35.122159,-120.626169
7309375825,san luis obispo,2012.0,honda,accord,194240.0,clean,automatic,1HGCP2F75CA117730,ca,35.122159,-120.626169
7306301597,san luis obispo,2012.0,honda,accord,194240.0,clean,automatic,1HGCP2F75CA117730,ca,35.122159,-120.626169
7304361388,san luis obispo,2012.0,honda,accord,194240.0,clean,automatic,1HGCP2F75CA117730,ca,35.122159,-120.626169
